sampleID,IGSN,core,depth,enzyme,temperature,substrate_conc,activity
N/A,N/A,N/A,cm,N/A,degreeCelsius,micromolar,nmol/g_dry_soil/h
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,25,60,1777.423798
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,25,60,1649.902278
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,25,30,833.811848
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,25,30,878.8738887
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,25,30,956.2383253
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,25,30,1103.736733
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,25,10,325.8621005
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,25,10,378.5226308
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,25,10,388.7700138
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,25,10,417.7822285
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,35,800,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,35,800,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,35,800,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,35,800,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,35,450,3119.212638
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,35,450,3662.194601
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,35,450,3503.501524
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,35,450,3766.755737
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,35,250,3516.213072
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,35,250,3710.57732
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,35,250,4347.039813
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,35,250,3919.980522
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,35,150,3796.466462
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,35,150,3666.025247
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,35,150,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,35,150,3654.7397
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,35,100,3471.054436
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,35,100,3284.332859
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,35,100,3860.02702
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,35,100,3372.38822
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,35,60,2448.589458
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,35,60,2554.801632
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,35,60,2492.177322
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,35,60,2238.801705
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,35,30,1498.843807
